listing_id,user_id,title,description,price,area_sqm,price_per_sqm,location,contact_verified,account_age_days,is_scam
list_1,user_24,Limited Time Offer – Bukit Timah Condo,"Quick deal in Bukit Timah – no viewing needed. First come, first served. Only 73 sqm!",3362.13,73.21,45.92,Bukit Timah,False,64,1
list_2,user_67,Cheap deal in Bukit Timah – Act Fast,Too good to miss! Contact immediately. Great value in Bukit Timah. No background checks required.,1665.96,66.11,25.2,Bukit Timah,False,147,1
list_3,user_12,Limited Time Offer – Bukit Timah Condo,Direct from owner. No agent fee! 48 sqm in Bukit Timah. Pay deposit to secure. Urgent lease!,941.55,48.62,19.36,Bukit Timah,True,92,1
list_4,user_58,No Agent – Direct Owner 77 sqm at Toa Payoh,Direct from owner. No agent fee! 77 sqm in Toa Payoh. Pay deposit to secure. Urgent lease!,3483.81,77.01,45.24,Toa Payoh,False,272,1
list_5,user_177,Urgent Rental: Tampines Only Today!,Direct from owner. No agent fee! 84 sqm in Tampines. Pay deposit to secure. Urgent lease!,2796.11,84.25,33.19,Tampines,False,20,1
list_6,user_5,Best Price in Tampines – Must Go,"Fake listings beware – this is real! Tampines rental, direct owner. Secure it now before gone.",4826.65,101.16,47.71,Tampines,True,151,1
list_7,user_260,Best Price in Tampines – Must Go,Too good to miss! Contact immediately. Great value in Tampines. No background checks required.,2307.47,71.24,32.39,Tampines,False,244,1
list_8,user_203,Best Price in Jurong – Must Go,Lowest price ever seen in Jurong. Just 45 sqm of comfort. Deal ends today!,1996.66,45.45,43.93,Jurong,True,81,1
list_9,user_88,Urgent Rental: Hougang Only Today!,"Fake listings beware – this is real! Hougang rental, direct owner. Secure it now before gone.",3428.44,104.14,32.92,Hougang,True,204,1
list_10,user_86,Limited Time Offer – Bukit Timah Condo,Lowest price ever seen in Bukit Timah. Just 80 sqm of comfort. Deal ends today!,2979.76,80.96,36.8,Bukit Timah,True,70,1
list_11,user_99,Cheap deal in Tampines – Act Fast,Lowest price ever seen in Tampines. Just 84 sqm of comfort. Deal ends today!,3120.17,84.73,36.82,Tampines,True,117,1
list_12,user_27,No Agent – Direct Owner 72 sqm at Tampines,Lowest price ever seen in Tampines. Just 72 sqm of comfort. Deal ends today!,2271.56,72.89,31.16,Tampines,False,17,1
list_13,user_210,Urgent Rental: Bukit Timah Only Today!,"Quick deal in Bukit Timah – no viewing needed. First come, first served. Only 76 sqm!",4662.39,76.6,60.87,Bukit Timah,False,199,1
list_14,user_96,Limited Time Offer – Toa Payoh Condo,Direct from owner. No agent fee! 57 sqm in Toa Payoh. Pay deposit to secure. Urgent lease!,1308.51,57.63,22.7,Toa Payoh,True,44,1
list_15,user_80,Cheap deal in Toa Payoh – Act Fast,Too good to miss! Contact immediately. Great value in Toa Payoh. No background checks required.,1513.22,54.5,27.77,Toa Payoh,True,88,1
list_16,user_168,Cheap deal in Jurong – Act Fast,"Quick deal in Jurong – no viewing needed. First come, first served. Only 101 sqm!",3968.5,101.07,39.26,Jurong,False,7,1
list_17,user_254,Best Price in Jurong – Must Go,Direct from owner. No agent fee! 59 sqm in Jurong. Pay deposit to secure. Urgent lease!,1699.4,59.24,28.69,Jurong,True,39,1
list_18,user_118,Cheap deal in Orchard – Act Fast,"Quick deal in Orchard – no viewing needed. First come, first served. Only 94 sqm!",1989.64,94.75,21.0,Orchard,True,285,1
list_19,user_162,Cheap deal in Tampines – Act Fast,Lowest price ever seen in Tampines. Just 69 sqm of comfort. Deal ends today!,2885.14,69.88,41.29,Tampines,True,196,1
list_20,user_31,Best Price in Bukit Timah – Must Go,Too good to miss! Contact immediately. Great value in Bukit Timah. No background checks required.,2068.96,53.52,38.66,Bukit Timah,False,171,1
list_21,user_252,Best Price in Toa Payoh – Must Go,Lowest price ever seen in Toa Payoh. Just 56 sqm of comfort. Deal ends today!,1971.0,56.72,34.75,Toa Payoh,False,238,1
list_22,user_208,Cheap deal in Tampines – Act Fast,Too good to miss! Contact immediately. Great value in Tampines. No background checks required.,2321.53,74.77,31.05,Tampines,False,163,1
list_23,user_129,Urgent Rental: Bukit Timah Only Today!,Lowest price ever seen in Bukit Timah. Just 73 sqm of comfort. Deal ends today!,2919.48,73.04,39.97,Bukit Timah,False,284,1
list_24,user_185,Urgent Rental: Hougang Only Today!,"Quick deal in Hougang – no viewing needed. First come, first served. Only 74 sqm!",2082.08,74.18,28.07,Hougang,False,251,1
list_25,user_42,Limited Time Offer – Jurong Condo,"Fake listings beware – this is real! Jurong rental, direct owner. Secure it now before gone.",5639.37,117.95,47.81,Jurong,True,162,1
list_26,user_115,Urgent Rental: Toa Payoh Only Today!,Direct from owner. No agent fee! 109 sqm in Toa Payoh. Pay deposit to secure. Urgent lease!,3026.31,109.32,27.68,Toa Payoh,False,187,1
list_27,user_53,No Agent – Direct Owner 64 sqm at Jurong,Too good to miss! Contact immediately. Great value in Jurong. No background checks required.,2925.56,64.83,45.13,Jurong,False,140,1
list_28,user_39,Urgent Rental: Hougang Only Today!,Lowest price ever seen in Hougang. Just 78 sqm of comfort. Deal ends today!,2709.4,78.93,34.33,Hougang,True,188,1
list_29,user_277,Cheap deal in Orchard – Act Fast,Lowest price ever seen in Orchard. Just 109 sqm of comfort. Deal ends today!,2590.95,109.15,23.74,Orchard,False,30,1
list_30,user_81,No Agent – Direct Owner 94 sqm at Hougang,Lowest price ever seen in Hougang. Just 94 sqm of comfort. Deal ends today!,3212.54,94.26,34.08,Hougang,False,21,1
list_31,user_154,Urgent Rental: Toa Payoh Only Today!,"Quick deal in Toa Payoh – no viewing needed. First come, first served. Only 54 sqm!",2365.35,54.98,43.02,Toa Payoh,True,79,1
list_32,user_137,No Agent – Direct Owner 94 sqm at Toa Payoh,"Fake listings beware – this is real! Toa Payoh rental, direct owner. Secure it now before gone.",4246.49,94.46,44.96,Toa Payoh,False,239,1
list_33,user_56,Best Price in Hougang – Must Go,Too good to miss! Contact immediately. Great value in Hougang. No background checks required.,3547.82,110.68,32.05,Hougang,True,75,1
list_34,user_244,No Agent – Direct Owner 76 sqm at Tampines,"Fake listings beware – this is real! Tampines rental, direct owner. Secure it now before gone.",3370.24,76.66,43.97,Tampines,False,280,1
list_35,user_189,Urgent Rental: Hougang Only Today!,Too good to miss! Contact immediately. Great value in Hougang. No background checks required.,5334.6,119.98,44.46,Hougang,False,90,1
list_36,user_179,Cheap deal in Hougang – Act Fast,Too good to miss! Contact immediately. Great value in Hougang. No background checks required.,1322.96,88.2,15.0,Hougang,True,117,1
list_37,user_208,Best Price in Toa Payoh – Must Go,Direct from owner. No agent fee! 111 sqm in Toa Payoh. Pay deposit to secure. Urgent lease!,5309.27,111.13,47.77,Toa Payoh,False,77,1
list_38,user_213,Cheap deal in Toa Payoh – Act Fast,Too good to miss! Contact immediately. Great value in Toa Payoh. No background checks required.,2666.82,77.41,34.45,Toa Payoh,False,173,1
list_39,user_267,Limited Time Offer – Orchard Condo,"Quick deal in Orchard – no viewing needed. First come, first served. Only 71 sqm!",1286.77,71.1,18.1,Orchard,True,27,1
